work_date,time_bucket,line,equipment_id,product_model,input_qty,output_qty,inspection_qty,ng_qty,rejudge_qty,reinput_qty,top_defect_code,top_defect_name,note
2026-05-20,07:00-08:00,MODULE-A,LAM-01,MOD-A1,185,183,183,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,07:00-08:00,MODULE-A,LAM-02,MOD-A1,178,177,177,0,0,0,NONE,None,Normal
2026-05-20,07:00-08:00,MODULE-A,LAM-03,MOD-A1,182,180,180,1,0,0,EDGE,Edge defect,Normal
2026-05-20,08:00-09:00,MODULE-A,LAM-01,MOD-A1,190,188,188,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,08:00-09:00,MODULE-A,LAM-02,MOD-A1,188,187,187,1,0,0,FOREIGN,Foreign material,Normal
2026-05-20,08:00-09:00,MODULE-A,LAM-03,MOD-A1,186,185,185,1,0,0,EDGE,Edge defect,Normal
2026-05-20,09:00-10:00,MODULE-A,LAM-01,MOD-A1,192,191,191,1,0,0,EDGE,Edge defect,Normal
2026-05-20,09:00-10:00,MODULE-A,LAM-02,MOD-A1,190,188,188,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,09:00-10:00,MODULE-A,LAM-03,MOD-A1,187,186,186,1,0,0,FOREIGN,Foreign material,Normal
2026-05-20,10:00-11:00,MODULE-A,LAM-01,MOD-A1,188,187,187,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,10:00-11:00,MODULE-A,LAM-02,MOD-A1,185,184,184,1,0,0,EDGE,Edge defect,Normal
2026-05-20,10:00-11:00,MODULE-A,LAM-03,MOD-A1,184,183,183,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,11:00-12:00,MODULE-A,LAM-01,MOD-A1,186,185,185,0,0,0,NONE,None,Normal
2026-05-20,11:00-12:00,MODULE-A,LAM-02,MOD-A1,187,186,186,1,0,0,FOREIGN,Foreign material,Normal
2026-05-20,11:00-12:00,MODULE-A,LAM-03,MOD-A1,183,181,181,1,0,0,EDGE,Edge defect,Normal
2026-05-20,12:00-13:00,MODULE-A,LAM-01,MOD-A1,180,179,179,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,12:00-13:00,MODULE-A,LAM-02,MOD-A1,181,180,180,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,12:00-13:00,MODULE-A,LAM-03,MOD-A1,180,179,179,1,0,0,EDGE,Edge defect,Normal
2026-05-20,13:00-14:00,MODULE-A,LAM-01,MOD-A1,190,189,189,1,0,0,FOREIGN,Foreign material,Normal
2026-05-20,13:00-14:00,MODULE-A,LAM-02,MOD-A1,189,188,188,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,13:00-14:00,MODULE-A,LAM-03,MOD-A1,188,186,186,2,0,0,CRACK,Cell crack,Pre-warning
2026-05-20,14:00-15:00,MODULE-A,LAM-01,MOD-A1,192,191,191,1,0,0,EDGE,Edge defect,Normal
2026-05-20,14:00-15:00,MODULE-A,LAM-02,MOD-A1,190,189,189,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,14:00-15:00,MODULE-A,LAM-03,MOD-A1,191,187,186,10,1,2,CRACK,Cell crack,NG concentration
2026-05-20,15:00-16:00,MODULE-A,LAM-01,MOD-A1,188,187,187,1,0,0,FOREIGN,Foreign material,Normal
2026-05-20,15:00-16:00,MODULE-A,LAM-02,MOD-A1,187,186,186,1,0,0,EDGE,Edge defect,Normal
2026-05-20,15:00-16:00,MODULE-A,LAM-03,MOD-A1,185,182,181,4,1,1,CRACK,Cell crack,Recovery check
2026-05-20,16:00-17:00,MODULE-A,LAM-01,MOD-A1,190,189,189,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,16:00-17:00,MODULE-A,LAM-02,MOD-A1,188,187,187,1,0,0,FOREIGN,Foreign material,Normal
2026-05-20,16:00-17:00,MODULE-A,LAM-03,MOD-A1,184,183,183,1,0,0,EDGE,Edge defect,Normal
2026-05-20,17:00-18:00,MODULE-A,LAM-01,MOD-A1,186,185,185,1,0,0,EDGE,Edge defect,Normal
2026-05-20,17:00-18:00,MODULE-A,LAM-02,MOD-A1,185,184,184,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,17:00-18:00,MODULE-A,LAM-03,MOD-A1,183,182,182,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,18:00-19:00,MODULE-A,LAM-01,MOD-A1,178,177,177,0,0,0,NONE,None,Normal
2026-05-20,18:00-19:00,MODULE-A,LAM-02,MOD-A1,176,175,175,1,0,0,FOREIGN,Foreign material,Normal
2026-05-20,18:00-19:00,MODULE-A,LAM-03,MOD-A1,175,174,174,1,0,0,EDGE,Edge defect,Normal
2026-05-20,19:00-20:00,MODULE-A,LAM-01,MOD-A1,171,170,170,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,19:00-20:00,MODULE-A,LAM-02,MOD-A1,170,169,169,0,0,0,NONE,None,Normal
2026-05-20,19:00-20:00,MODULE-A,LAM-03,MOD-A1,168,167,167,1,0,0,EDGE,Edge defect,Normal
2026-05-20,20:00-21:00,MODULE-A,LAM-01,MOD-A1,160,159,159,0,0,0,NONE,None,Normal
2026-05-20,20:00-21:00,MODULE-A,LAM-02,MOD-A1,158,157,157,1,0,0,BUBBLE,Bubble,Normal
2026-05-20,20:00-21:00,MODULE-A,LAM-03,MOD-A1,156,155,155,1,0,0,FOREIGN,Foreign material,Normal
2026-05-21,00:00-01:00,MODULE-A,LAM-01,MOD-A1,142,141,141,1,0,0,EDGE,Edge defect,Night shift
2026-05-21,00:00-01:00,MODULE-A,LAM-02,MOD-A1,140,139,139,0,0,0,NONE,None,Night shift
2026-05-21,00:00-01:00,MODULE-A,LAM-03,MOD-A1,138,137,137,1,0,0,BUBBLE,Bubble,Night shift
