event_time,line,equipment_id,module_id,product_model,defect_code,defect_name,inspection_tool,judge,rejudge_flag,reinput_flag,image_ref,note
2026-05-20 07:18:23,MODULE-A,LAM-01,SMP-20260520-0001,MOD-A1,BUBBLE,Bubble,AOI,NG,N,N,IMG_AOI_0001,Small bubble
2026-05-20 07:42:11,MODULE-A,LAM-03,SMP-20260520-0002,MOD-A1,EDGE,Edge defect,AOI,NG,N,N,IMG_AOI_0002,Edge mark
2026-05-20 08:21:45,MODULE-A,LAM-02,SMP-20260520-0003,MOD-A1,FOREIGN,Foreign material,AOI,NG,N,N,IMG_AOI_0003,Particle suspected
2026-05-20 08:33:04,MODULE-A,LAM-03,SMP-20260520-0004,MOD-A1,EDGE,Edge defect,EL,NG,N,N,IMG_EL_0004,Edge dark area
2026-05-20 09:10:35,MODULE-A,LAM-01,SMP-20260520-0005,MOD-A1,EDGE,Edge defect,AOI,NG,N,N,IMG_AOI_0005,Edge scratch
2026-05-20 09:58:16,MODULE-A,LAM-02,SMP-20260520-0006,MOD-A1,BUBBLE,Bubble,AOI,NG,N,N,IMG_AOI_0006,Bubble
2026-05-20 10:44:51,MODULE-A,LAM-03,SMP-20260520-0007,MOD-A1,BUBBLE,Bubble,AOI,NG,N,N,IMG_AOI_0007,Bubble
2026-05-20 11:26:09,MODULE-A,LAM-02,SMP-20260520-0008,MOD-A1,FOREIGN,Foreign material,AOI,NG,N,N,IMG_AOI_0008,Particle
2026-05-20 12:16:40,MODULE-A,LAM-01,SMP-20260520-0009,MOD-A1,BUBBLE,Bubble,AOI,NG,N,N,IMG_AOI_0009,Bubble
2026-05-20 13:17:33,MODULE-A,LAM-03,SMP-20260520-0010,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0010,Crack pre-warning
2026-05-20 13:51:22,MODULE-A,LAM-03,SMP-20260520-0011,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0011,Crack pre-warning
2026-05-20 14:04:12,MODULE-A,LAM-03,SMP-20260520-0012,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0012,Concentrated crack
2026-05-20 14:08:37,MODULE-A,LAM-03,SMP-20260520-0013,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0013,Concentrated crack
2026-05-20 14:13:49,MODULE-A,LAM-03,SMP-20260520-0014,MOD-A1,CRACK,Cell crack,EL,NG,Y,N,IMG_EL_0014,Rejudge required
2026-05-20 14:18:03,MODULE-A,LAM-03,SMP-20260520-0015,MOD-A1,CRACK,Cell crack,EL,NG,N,Y,IMG_EL_0015,Reinput history
2026-05-20 14:22:18,MODULE-A,LAM-03,SMP-20260520-0016,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0016,Concentrated crack
2026-05-20 14:31:42,MODULE-A,LAM-03,SMP-20260520-0017,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0017,Concentrated crack
2026-05-20 14:38:09,MODULE-A,LAM-03,SMP-20260520-0018,MOD-A1,CRACK,Cell crack,EL,NG,N,Y,IMG_EL_0018,Reinput history
2026-05-20 14:44:55,MODULE-A,LAM-03,SMP-20260520-0019,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0019,Concentrated crack
2026-05-20 14:50:27,MODULE-A,LAM-03,SMP-20260520-0020,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0020,Concentrated crack
2026-05-20 14:56:31,MODULE-A,LAM-03,SMP-20260520-0021,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0021,Concentrated crack
2026-05-20 15:05:17,MODULE-A,LAM-03,SMP-20260520-0022,MOD-A1,CRACK,Cell crack,EL,NG,Y,N,IMG_EL_0022,Recovery check
2026-05-20 15:19:28,MODULE-A,LAM-03,SMP-20260520-0023,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0023,Recovery check
2026-05-20 15:36:02,MODULE-A,LAM-03,SMP-20260520-0024,MOD-A1,CRACK,Cell crack,EL,NG,N,Y,IMG_EL_0024,Recovery check
2026-05-20 15:48:39,MODULE-A,LAM-03,SMP-20260520-0025,MOD-A1,CRACK,Cell crack,EL,NG,N,N,IMG_EL_0025,Recovery check
2026-05-20 16:11:14,MODULE-A,LAM-02,SMP-20260520-0026,MOD-A1,FOREIGN,Foreign material,AOI,NG,N,N,IMG_AOI_0026,Particle
2026-05-20 17:08:25,MODULE-A,LAM-01,SMP-20260520-0027,MOD-A1,EDGE,Edge defect,AOI,NG,N,N,IMG_AOI_0027,Edge mark
2026-05-20 18:49:55,MODULE-A,LAM-02,SMP-20260520-0028,MOD-A1,FOREIGN,Foreign material,AOI,NG,N,N,IMG_AOI_0028,Particle
2026-05-20 19:36:20,MODULE-A,LAM-03,SMP-20260520-0029,MOD-A1,EDGE,Edge defect,AOI,NG,N,N,IMG_AOI_0029,Edge mark
2026-05-21 06:24:17,MODULE-A,LAM-03,SMP-20260520-0030,MOD-A1,BUBBLE,Bubble,AOI,NG,N,N,IMG_AOI_0030,End window bubble
