측정일시,장비명,라인,NG유형,판정,진공도,상부온도,프레스압력,공정Time,Recipe,BOM자재,이미지ID,비고
2026-05-21 07:16:12,LAM-01,MODULE-A,EDGE,NG,-91.2,147.8,412,94.1,RCP-A,ENCAP-A,IMG_FLEX_0001,일반 edge
2026-05-21 08:22:13,LAM-03,MODULE-A,CRACK,NG,-90.8,148.1,414,95.0,RCP-A,ENCAP-A,IMG_FLEX_0002,단발 crack
2026-05-21 13:12:40,LAM-03,MODULE-A,CRACK,NG,-88.2,149.6,420,98.4,RCP-A,ENCAP-A,IMG_FLEX_0003,crack 선행
2026-05-21 13:47:22,LAM-03,MODULE-A,CRACK,NG,-87.9,150.1,422,99.1,RCP-A,ENCAP-A,IMG_FLEX_0004,crack 선행
2026-05-21 14:03:11,LAM-03,MODULE-A,CRACK,NG,-86.4,151.2,431,101.4,RCP-A,ENCAP-A,IMG_FLEX_0005,crack 집중
2026-05-21 14:07:28,LAM-03,MODULE-A,CRACK,NG,-85.9,151.7,434,102.0,RCP-A,ENCAP-A,IMG_FLEX_0006,crack 집중
2026-05-21 14:12:05,LAM-03,MODULE-A,CRACK,NG,-85.6,152.0,436,102.5,RCP-A,ENCAP-A,IMG_FLEX_0007,crack 집중
2026-05-21 14:18:49,LAM-03,MODULE-A,CRACK,NG,-85.5,152.3,438,103.2,RCP-A,ENCAP-A,IMG_FLEX_0008,crack 집중
2026-05-21 14:23:17,LAM-03,MODULE-A,CRACK,NG,-85.7,152.1,437,102.8,RCP-A,ENCAP-A,IMG_FLEX_0009,crack 집중
2026-05-21 14:29:31,LAM-03,MODULE-A,CRACK,NG,-86.0,151.9,435,102.1,RCP-A,ENCAP-A,IMG_FLEX_0010,crack 집중
2026-05-21 14:35:44,LAM-03,MODULE-A,CRACK,NG,-86.6,151.4,432,101.0,RCP-A,ENCAP-A,IMG_FLEX_0011,crack 집중
2026-05-21 15:05:11,LAM-03,MODULE-A,CRACK,NG,-88.4,149.8,423,99.2,RCP-A,ENCAP-A,IMG_FLEX_0012,crack 후행
2026-05-21 16:04:22,LAM-02,MODULE-A,BUBBLE,NG,-90.4,148.5,415,95.5,RCP-B,ENCAP-B,IMG_FLEX_0013,bubble 집중
2026-05-21 16:10:47,LAM-02,MODULE-A,BUBBLE,NG,-90.2,148.7,416,95.9,RCP-B,ENCAP-B,IMG_FLEX_0014,bubble 집중
2026-05-21 16:21:18,LAM-02,MODULE-A,BUBBLE,NG,-89.8,149.0,418,96.7,RCP-B,ENCAP-B,IMG_FLEX_0015,bubble 집중
2026-05-21 16:42:30,LAM-02,MODULE-A,BUBBLE,NG,-89.6,149.2,419,97.1,RCP-B,ENCAP-B,IMG_FLEX_0016,bubble 집중
