sample_time,line,equipment_id,recipe_id,upper_temp_c,lower_temp_c,vacuum_kpa,press_pressure_mpa,belt_speed_mm_s,cycle_time_sec,profile_status,note
2026-05-20 13:30:00,MODULE-A,LAM-03,RCP-A1,146.2,145.8,-96.8,0.82,18.4,92.1,NORMAL,Baseline
2026-05-20 13:45:00,MODULE-A,LAM-03,RCP-A1,146.5,146.1,-96.2,0.83,18.3,92.4,NORMAL,Baseline
2026-05-20 14:00:00,MODULE-A,LAM-03,RCP-A1,148.7,146.4,-92.1,0.74,18.1,95.8,WARN,Vacuum drop starts
2026-05-20 14:05:00,MODULE-A,LAM-03,RCP-A1,149.4,146.6,-90.8,0.71,18.0,97.2,ABNORMAL,Alarm overlap
2026-05-20 14:10:00,MODULE-A,LAM-03,RCP-A1,149.9,146.8,-89.7,0.69,17.9,98.1,ABNORMAL,Crack concentration
2026-05-20 14:15:00,MODULE-A,LAM-03,RCP-A1,150.2,146.7,-89.1,0.68,17.8,99.0,ABNORMAL,Crack concentration
2026-05-20 14:20:00,MODULE-A,LAM-03,RCP-A1,150.0,146.8,-90.0,0.70,17.8,98.6,ABNORMAL,Crack concentration
2026-05-20 14:30:00,MODULE-A,LAM-03,RCP-A1,149.1,146.5,-91.6,0.73,18.0,96.3,WARN,Recovery starts
2026-05-20 14:45:00,MODULE-A,LAM-03,RCP-A1,147.8,146.2,-94.2,0.78,18.2,94.0,WARN,Recovery
2026-05-20 15:00:00,MODULE-A,LAM-03,RCP-A1,146.9,146.0,-95.4,0.80,18.3,93.1,NORMAL,Near baseline
2026-05-20 15:15:00,MODULE-A,LAM-03,RCP-A1,146.4,145.9,-96.3,0.82,18.4,92.5,NORMAL,Baseline
2026-05-20 15:30:00,MODULE-A,LAM-03,RCP-A1,146.1,145.7,-96.7,0.82,18.4,92.2,NORMAL,Baseline
2026-05-20 14:10:00,MODULE-A,LAM-01,RCP-A1,145.8,145.6,-97.0,0.83,18.5,91.9,NORMAL,Comparison equipment
2026-05-20 14:10:00,MODULE-A,LAM-02,RCP-A1,146.0,145.7,-96.6,0.82,18.4,92.3,NORMAL,Comparison equipment
